id,parent_id,type,name,category,scope,description,role,tech,start,end,date_source,status,progress,commits,location,highlights,links,notes
thermynx,,project,THERMYNX — HVAC AI Operations Intelligence,HVAC Platform,Graylinx,"AI-powered HVAC analytics POC for the Unicharm facility — local LLM, RAG, work orders and analytics.","Sole engineer — full-stack build: FastAPI backend, React/TypeScript frontend, Ollama integration, analytics engine.",Python; FastAPI; React; TypeScript; Ollama; MySQL; Vite,2026-05-08,ongoing,git,Active,70,322,D:\Harshan\HVAC AI Operations Intelligence Platform,"Most active project — 308 commits; 18 feature pages + 6 Claude/LLM agents; RAG over facility docs, work-order workflow, analytics engine; Local on-prem LLM (Ollama) inference",,
thermynx.1,thermynx,milestone,18 feature pages,HVAC Platform,Graylinx,Frontend feature surface,,,2026-05-08,2026-05-15,git,Active,80,0,,,,
thermynx.2,thermynx,milestone,6 AI agents,HVAC Platform,Graylinx,Claude/LLM agents,,,2026-05-15,2026-05-23,git,Active,70,0,,,,
thermynx.3,thermynx,milestone,RAG pipeline,HVAC Platform,Graylinx,Retrieval over facility docs,,,2026-05-23,2026-05-31,git,Active,65,0,,,,
thermynx.4,thermynx,milestone,Work orders,HVAC Platform,Graylinx,Work-order workflow,,,2026-05-31,2026-06-08,git,Active,60,0,,,,
thermynx.5,thermynx,milestone,Analytics engine,HVAC Platform,Graylinx,Chiller/HVAC analytics,,,2026-06-08,2026-06-16,git,Active,60,0,,,,
climastream,,project,ClimaStream — Real-time HVAC Pipeline,HVAC Platform,Graylinx,Production-grade streaming pipeline POC: Kafka -> TimescaleDB -> Airflow -> FastAPI -> Next.js.,Sole engineer — designed and built the end-to-end microservice pipeline and simulator.,Python; Kafka; TimescaleDB; Airflow; Next.js; Docker,2026-04-24,2026-06-15,git,Done,100,32,D:\Harshan\clima-stream-hvac,"Proved the real-time streaming architecture; Microservices: simulator, ingestion, processor, ML, storage, API; 31 commits over ~4 weeks",,
climastream.1,climastream,milestone,Device simulator,HVAC Platform,Graylinx,Synthetic HVAC data,,,2026-04-24,2026-05-04,git,Done,100,0,,,,
climastream.2,climastream,milestone,Kafka ingestion,HVAC Platform,Graylinx,Streaming ingest,,,2026-05-04,2026-05-14,git,Done,100,0,,,,
climastream.3,climastream,milestone,TimescaleDB storage,HVAC Platform,Graylinx,Time-series store,,,2026-05-14,2026-05-25,git,Done,100,0,,,,
climastream.4,climastream,milestone,ML scoring,HVAC Platform,Graylinx,Anomaly/score service,,,2026-05-25,2026-06-04,git,Done,100,0,,,,
climastream.5,climastream,milestone,Next.js UI,HVAC Platform,Graylinx,Frontend dashboard,,,2026-06-04,2026-06-15,git,Done,100,0,,,,
omnyx,,project,OMNYX — Universal IoT Operations Platform,HVAC Platform,Graylinx,"Next-gen production platform vision: Digital-Twin FDD, RL optimization, Agentic AI, dual-database architecture.",Architecture & platform design — the strategic north star consolidating the POCs.,Python; React; TypeScript; PostgreSQL; TimescaleDB; Kafka,2026-05-25,ongoing,git,Active,35,219,D:\Harshan\graylinx-v2,Digital Twin fault detection & diagnostics (FDD); Reinforcement-learning optimization; Agentic AI operations layer; Dual-DB (PostgreSQL + TimescaleDB) design,,
omnyx.1,omnyx,milestone,Digital-Twin FDD,HVAC Platform,Graylinx,Fault detection & diagnostics,,,2026-05-25,2026-05-30,git,Active,40,0,,,,
omnyx.2,omnyx,milestone,RL optimization,HVAC Platform,Graylinx,Setpoint optimization,,,2026-05-30,2026-06-04,git,Planned,15,0,,,,
omnyx.3,omnyx,milestone,Agentic AI,HVAC Platform,Graylinx,Operations agents,,,2026-06-04,2026-06-09,git,Active,30,0,,,,
omnyx.4,omnyx,milestone,Dual-DB architecture,HVAC Platform,Graylinx,Postgres + Timescale,,,2026-06-09,2026-06-15,git,Active,45,0,,,,
gl-pulse,,project,GL Pulse — Platform Architecture,HVAC Platform,Graylinx,"Reference architecture & planning docs unifying ClimaStream, THERMYNX and OMNYX into one next-gen vision.",Author — architecture documentation and lessons-learned consolidation.,Markdown; Architecture,2026-05-26,2026-05-30,approx,Ongoing,60,0,D:\Harshan\gl-pulse,20 architecture documents; Consolidates POC lessons into unified design,,
